status,dataset,model,base_parameters,reg_param,shrinkage_scheme,train_accuracy,test_accuracy,error_rate,precision_macro,recall_macro,f1_macro,generalization_gap,training_seconds,prediction_seconds,tree_depth,leaf_count,structure_unchanged_after_hs,train_samples,test_samples,features
completed,letter_recognition,E0 Baseline CART,{},,,1.0,0.8677021960364221,0.13229780396357793,0.8689333069847098,0.8671734824736936,0.8676944398593799,0.13229780396357793,0.09356012199998531,0.00875553800005946,31,1965,,14934,3734,16
completed,letter_recognition,E1 Pre-pruned CART,"{'max_depth': 16, 'min_samples_leaf': 1}",,,0.9207178250970939,0.8320835565077664,0.16791644349223356,0.8427599917662139,0.8313901179791311,0.8347960037692579,0.08863426858932744,0.09030565300008675,0.007169909000026564,16,1284,,14934,3734,16
completed,letter_recognition,E2 CCP-pruned CART,{'ccp_alpha': 0.0},,,1.0,0.8677021960364221,0.13229780396357793,0.8689333069847098,0.8671734824736936,0.8676944398593799,0.13229780396357793,0.1012368389999665,0.007310420999942835,31,1965,,14934,3734,16
completed,letter_recognition,E3 HS-DT,{},10.0,node_based,0.995111825364939,0.8687734333154794,0.1312265666845206,0.8702258938941986,0.8682160606588055,0.8688164773316613,0.12633839204945962,0.13642311599994628,0.007500641999968138,31,1965,True,14934,3734,16
completed,letter_recognition,E4 CCP+HS,{'ccp_alpha': 0.0},10.0,node_based,0.995111825364939,0.8687734333154794,0.1312265666845206,0.8702258938941986,0.8682160606588055,0.8688164773316613,0.12633839204945962,0.13258454100002837,0.007045787000038217,31,1965,True,14934,3734,16
completed,handwritten_digits,E0 Baseline CART,{},,,1.0,0.825,0.17500000000000004,0.8235837701869361,0.8242471042471042,0.8230493509776784,0.17500000000000004,0.024188517999959913,0.0032931389999930616,14,142,,1437,360,64
completed,handwritten_digits,E1 Pre-pruned CART,"{'max_depth': 8, 'min_samples_leaf': 1}",,,0.9387613082811412,0.8083333333333333,0.19166666666666665,0.8099338706923846,0.8078893178893178,0.8072103329793698,0.1304279749478079,0.019618487999991885,0.0028229120000560215,8,81,,1437,360,64
completed,handwritten_digits,E2 CCP-pruned CART,{'ccp_alpha': 0.0021959328848681664},,,0.9373695198329853,0.8138888888888889,0.18611111111111112,0.81666931498537,0.8135199485199486,0.8133333266756919,0.12348063094409645,0.023236021999991863,0.0028420050000477204,10,64,,1437,360,64
completed,handwritten_digits,E3 HS-DT,{},10.0,node_based,0.9972164231036882,0.8222222222222222,0.1777777777777778,0.8212062391338708,0.8215444015444018,0.8205513652611632,0.174994200881466,0.025777391000019634,0.002557646000013847,14,142,True,1437,360,64
completed,handwritten_digits,E4 CCP+HS,{'ccp_alpha': 0.0021959328848681664},0.0,node_based,0.9373695198329853,0.8166666666666667,0.18333333333333335,0.8191373753802598,0.8162977262977262,0.8159237187397681,0.12070285316631868,0.023764572999994016,0.002701060000049438,10,64,True,1437,360,64
completed,covertype,E0 Baseline CART,{},,,1.0,0.9388656058793663,0.061134394120633706,0.9030992020140152,0.9037770101418111,0.9034234787324996,0.061134394120633706,8.643529050999973,0.24659390299996176,41,23956,,464809,116203,54
completed,covertype,E1 Pre-pruned CART,"{'max_depth': None, 'min_samples_leaf': 5}",,,0.9707170041888173,0.929683398879547,0.07031660112045302,0.8937564968486419,0.8833422681557449,0.8884617238626685,0.04103360530927036,8.242615577999914,0.23234967700000198,40,16637,,464809,116203,54
completed,covertype,E2 CCP-pruned CART,{'ccp_alpha': 3.4422741384095396e-06},,,0.9898538969770379,0.9392012254416839,0.06079877455831606,0.9078651806940584,0.9012523018454546,0.9045228401290001,0.05065267153535391,9.320670154000027,0.22753803900002367,39,16361,,464809,116203,54
completed,covertype,E3 HS-DT,{},10.0,node_based,0.9966760540350983,0.939717563229865,0.060282436770135006,0.9060077432525169,0.9037140243234081,0.9048423081322222,0.0569584908052333,8.916365581000036,0.24166122899998754,41,23956,True,464809,116203,54
completed,covertype,E4 CCP+HS,{'ccp_alpha': 3.4422741384095396e-06},10.0,node_based,0.9896903889554635,0.9393389155185322,0.060661084481467786,0.9082981387544208,0.9023516442729995,0.9052951482709385,0.05035147343693125,9.86712314099998,0.23587685699999383,39,16361,True,464809,116203,54
