train_accuracy,test_accuracy,error_rate,precision_macro,recall_macro,f1_macro,generalization_gap,status,dataset,model,compute_device,gpu_name,learning_strategy,train_accuracy_sample_size,training_seconds,prediction_seconds,diagnostic_prediction_seconds,total_model_seconds,train_samples,test_samples,features,dataset_scope
1.0,0.8677021960364221,0.13229780396357793,0.8689333069847098,0.8671734824736936,0.8676944398593799,0.13229780396357793,completed,letter_recognition,Decision Tree,CPU,,eager,10000,0.08352975700006482,0.0008976530000381899,0.0021253690000548886,0.08442741000010301,14934,3734,16,canonical_preprocessed_split
0.9962,0.9512587038028923,0.04874129619710765,0.9531309666184102,0.9503460555927433,0.9512478140502927,0.04494129619710763,completed,letter_recognition,Random Forest,GPU,Tesla T4,eager,10000,3.0938876540000138,0.002640323000036915,0.4522563530000525,3.0965279770000507,14934,3734,16,canonical_preprocessed_split
0.9484,0.923138725227638,0.07686127477236204,0.9260316356321012,0.9223652401103839,0.9232492045604193,0.025261274772362063,completed,letter_recognition,SVM (RBF),GPU,Tesla T4,eager,10000,3.659412730999975,0.04730510800004595,0.3090847189999977,3.706717839000021,14934,3734,16,canonical_preprocessed_split
0.9694,0.9408141403320835,0.05918585966791645,0.9418555736390145,0.9406704955403149,0.9408107195439476,0.02858585966791649,completed,letter_recognition,KNN,GPU,Tesla T4,lazy,10000,0.0017338790000849258,0.0037330789999714398,0.18681603100003485,0.0054669580000563656,14934,3734,16,canonical_preprocessed_split
1.0,0.825,0.17500000000000004,0.8235837701869361,0.8242471042471042,0.8230493509776784,0.17500000000000004,completed,handwritten_digits,Decision Tree,CPU,,eager,1437,0.0204637100000582,0.0002551000000039494,0.0004452499999842985,0.02071881000006215,1437,360,64,full_dataset_split
1.0,0.9694444444444444,0.030555555555555558,0.9702533251875357,0.968968253968254,0.9688657125276597,0.030555555555555558,completed,handwritten_digits,Random Forest,GPU,Tesla T4,eager,1437,0.6273782890000348,0.000867241000037211,0.01332520599999043,0.628245530000072,1437,360,64,full_dataset_split
0.9965205288796103,0.9722222222222222,0.02777777777777779,0.9724716492808598,0.971904761904762,0.9718318416370689,0.02429830665738808,completed,handwritten_digits,SVM (RBF),GPU,Tesla T4,eager,1437,0.7066151540000192,0.011717885999928512,0.013416219999953682,0.7183330399999477,1437,360,64,full_dataset_split
0.9839944328462074,0.9638888888888889,0.036111111111111094,0.9645896987673304,0.9637215787215787,0.9634399725952825,0.02010554395731845,completed,handwritten_digits,KNN,GPU,Tesla T4,lazy,1437,0.001475352999932511,0.0014777660001072945,0.0017799030000560379,0.0029531190000398055,1437,360,64,full_dataset_split
1.0,0.9388656058793663,0.061134394120633706,0.9030992020140152,0.9037770101418111,0.9034234787324996,0.061134394120633706,completed,covertype,Decision Tree,CPU,,eager,10000,7.3727562029999945,0.036096521999979814,0.00422090200004277,7.408852724999974,464809,116203,54,full_dataset_split
0.8053,0.7957453766253884,0.20425462337461164,0.860532314486375,0.6045119847766441,0.6586034363348523,0.00955462337461166,completed,covertype,Random Forest,GPU,Tesla T4,eager,10000,2.954036101999918,0.04118847600000208,0.14443952700003138,2.9952245779999203,464809,116203,54,full_dataset_split
0.7876,0.7907196888204263,0.20928031117957369,0.766170307644357,0.5956368248576348,0.6378158836081221,-0.0031196888204263473,completed,covertype,SVM (RBF),GPU,Tesla T4,eager,10000,110.44377233900002,15.10297988000002,1.321906876000071,125.54675221900004,464809,116203,54,full_dataset_split
0.9567,0.9284355825581095,0.07156441744189046,0.8891095498825176,0.8591955896823897,0.8731701157005202,0.028264417441890455,completed,covertype,KNN,GPU,Tesla T4,lazy,10000,0.004965462000086518,5.75059145299997,0.4910457820000147,5.7555569150000565,464809,116203,54,full_dataset_split
